name,description,link
"Elspeth, Sun’s Champion","A classic good planes walker. Not too extra, but does the trick.",http://www.planeswalkerslibrary.com/card/Elspeth-Suns-Champion
"Ashiok, Nightmare Weaver","Not great individually, but costs almost nothing and puts some pressure on. Pretty good.",http://www.planeswalkerslibrary.com/card/Ashiok-Nightmare-Weaver
